gta06_hhld,age,total,Mode
5050,50,287,Auto driver
5050,51,306,Auto driver
5050,52,278,Auto driver
5050,53,51,Auto driver
5050,57,51,Auto driver
5050,58,25,Auto driver
5050,59,133,Auto driver
5050,60,212,Auto driver
5050,61,369,Auto driver
5050,62,190,Auto driver
5050,64,118,Auto driver
5050,65,31,Auto driver
5050,67,19,Auto driver
5050,68,31,Auto driver
5050,69,115,Auto driver
5050,72,19,Auto driver
5050,75,28,Auto driver
5050,78,16,Auto driver
5050,82,32,Auto driver
5050,83,32,Auto driver
5051,18,335,Auto driver
5051,20,168,Auto driver
5051,21,129,Auto driver
5051,22,432,Auto driver
5051,23,122,Auto driver
5051,24,344,Auto driver
5051,25,167,Auto driver
5051,26,81,Auto driver
5051,28,433,Auto driver
5051,31,1453,Auto driver
5051,32,582,Auto driver
5051,34,67,Auto driver
5051,37,87,Auto driver
5051,40,89,Auto driver
5051,41,65,Auto driver
5051,43,251,Auto driver
5051,44,468,Auto driver
5051,45,948,Auto driver
5051,48,97,Auto driver
5051,50,226,Auto driver
5051,51,97,Auto driver
5051,52,385,Auto driver
5051,54,115,Auto driver
5051,55,151,Auto driver
5051,56,296,Auto driver
5051,58,695,Auto driver
5051,60,76,Auto driver
5051,62,77,Auto driver
5051,64,189,Auto driver
5051,65,81,Auto driver
5051,66,94,Auto driver
5051,68,71,Auto driver
5051,69,153,Auto driver
5051,71,26,Auto driver
5051,74,51,Auto driver
5051,76,23,Auto driver
5052,18,44,Auto driver
5052,25,55,Auto driver
5052,39,88,Auto driver
5052,43,34,Auto driver
5052,45,238,Auto driver
5052,46,35,Auto driver
5052,47,55,Auto driver
5052,48,52,Auto driver
5052,49,88,Auto driver
5052,56,316,Auto driver
5052,59,161,Auto driver
5052,62,16,Auto driver
5052,64,142,Auto driver
5052,65,26,Auto driver
5052,67,32,Auto driver
5052,68,71,Auto driver
5052,70,91,Auto driver
5052,72,29,Auto driver
5052,74,117,Auto driver
5052,77,39,Auto driver
5052,78,30,Auto driver
5052,84,114,Auto driver
5053,18,139,Auto driver
5053,22,49,Auto driver
5053,23,73,Auto driver
5053,24,73,Auto driver
5053,26,61,Auto driver
5053,27,61,Auto driver
5053,28,73,Auto driver
5053,31,327,Auto driver
5053,32,143,Auto driver
5053,33,214,Auto driver
5053,36,1030,Auto driver
5053,37,124,Auto driver
5053,38,57,Auto driver
5053,39,25,Auto driver
5053,40,776,Auto driver
5053,41,68,Auto driver
5053,43,74,Auto driver
5053,44,386,Auto driver
5053,45,145,Auto driver
5053,46,175,Auto driver
5053,49,558,Auto driver
5053,50,327,Auto driver
5053,52,56,Auto driver
5053,53,64,Auto driver
5053,54,32,Auto driver
5053,55,278,Auto driver
5053,57,62,Auto driver
5053,58,228,Auto driver
5053,59,417,Auto driver
5053,60,341,Auto driver
5053,62,47,Auto driver
5053,63,275,Auto driver
5053,64,94,Auto driver
5053,65,47,Auto driver
5053,66,82,Auto driver
5053,67,77,Auto driver
5053,68,32,Auto driver
5053,69,48,Auto driver
5053,70,248,Auto driver
5053,71,64,Auto driver
5053,72,28,Auto driver
5053,80,174,Auto driver
5053,82,73,Auto driver
5054,20,255,Auto driver
5054,21,212,Auto driver
5054,26,61,Auto driver
5054,42,390,Auto driver
5054,44,112,Auto driver
5054,49,255,Auto driver
5054,54,128,Auto driver
5054,56,71,Auto driver
5055,47,128,Auto driver
5055,49,86,Auto driver
5055,78,82,Auto driver
5055,79,33,Auto driver
5056,18,72,Auto driver
5056,23,109,Auto driver
5056,26,64,Auto driver
5056,38,82,Auto driver
5056,40,92,Auto driver
5056,41,16,Auto driver
5056,42,47,Auto driver
5056,43,93,Auto driver
5056,44,148,Auto driver
5056,45,240,Auto driver
5056,46,424,Auto driver
5056,47,308,Auto driver
5056,48,128,Auto driver
5056,49,66,Auto driver
5056,50,275,Auto driver
5056,51,257,Auto driver
5056,53,113,Auto driver
5056,54,264,Auto driver
5056,56,291,Auto driver
5056,58,160,Auto driver
5056,61,69,Auto driver
5056,67,69,Auto driver
5056,68,56,Auto driver
5056,73,80,Auto driver
5056,74,153,Auto driver
5056,75,165,Auto driver
5057,18,108,Auto driver
5057,21,279,Auto driver
5057,25,252,Auto driver
5057,26,88,Auto driver
5057,31,183,Auto driver
5057,32,472,Auto driver
5057,33,100,Auto driver
5057,34,126,Auto driver
5057,37,189,Auto driver
5057,38,166,Auto driver
5057,39,552,Auto driver
5057,42,251,Auto driver
5057,44,225,Auto driver
5057,45,141,Auto driver
5057,47,255,Auto driver
5057,49,97,Auto driver
5057,50,180,Auto driver
5057,53,218,Auto driver
5057,56,75,Auto driver
5057,58,62,Auto driver
5057,59,354,Auto driver
5057,63,253,Auto driver
5057,66,403,Auto driver
5057,67,152,Auto driver
5057,68,62,Auto driver
5057,69,26,Auto driver
5057,70,67,Auto driver
5057,81,24,Auto driver
5057,90,29,Auto driver
5058,26,499,Auto driver
5058,28,96,Auto driver
5058,29,112,Auto driver
5058,32,219,Auto driver
5058,40,100,Auto driver
5058,46,471,Auto driver
5058,48,100,Auto driver
5058,50,96,Auto driver
5058,51,106,Auto driver
5058,54,50,Auto driver
5058,55,96,Auto driver
5058,62,100,Auto driver
5058,63,76,Auto driver
5058,64,148,Auto driver
5058,67,94,Auto driver
5058,71,97,Auto driver
5058,74,59,Auto driver
5058,75,83,Auto driver
5058,76,189,Auto driver
5058,77,102,Auto driver
5058,78,61,Auto driver
5058,81,61,Auto driver
5058,82,123,Auto driver
5058,88,41,Auto driver
5058,89,51,Auto driver
5058,91,82,Auto driver
5058,93,41,Auto driver
5059,16,148,Auto driver
5059,20,162,Auto driver
5059,21,706,Auto driver
5059,22,143,Auto driver
5059,23,70,Auto driver
5059,24,195,Auto driver
5059,25,129,Auto driver
5059,26,58,Auto driver
5059,27,92,Auto driver
5059,28,54,Auto driver
5059,29,146,Auto driver
5059,31,224,Auto driver
5059,33,1109,Auto driver
5059,35,291,Auto driver
5059,37,138,Auto driver
5059,38,326,Auto driver
5059,39,109,Auto driver
5059,40,109,Auto driver
5059,41,217,Auto driver
5059,42,624,Auto driver
5059,46,143,Auto driver
5059,47,207,Auto driver
5059,48,440,Auto driver
5059,49,554,Auto driver
5059,50,547,Auto driver
5059,54,523,Auto driver
5059,55,286,Auto driver
5059,57,259,Auto driver
5059,58,80,Auto driver
5059,59,572,Auto driver
5059,62,193,Auto driver
5059,63,855,Auto driver
5059,65,47,Auto driver
5059,66,211,Auto driver
5059,68,31,Auto driver
5059,69,95,Auto driver
5059,70,584,Auto driver
5059,75,75,Auto driver
5059,78,68,Auto driver
5059,79,38,Auto driver
5059,81,135,Auto driver
5059,83,77,Auto driver
5059,85,38,Auto driver
5059,87,29,Auto driver
5059,88,85,Auto driver
5059,97,77,Auto driver
5060,23,223,Auto driver
5060,25,210,Auto driver
5060,30,171,Auto driver
5060,35,210,Auto driver
5060,36,302,Auto driver
5060,38,200,Auto driver
5060,39,220,Auto driver
5060,45,46,Auto driver
5060,49,262,Auto driver
5060,53,52,Auto driver
5060,54,105,Auto driver
5060,55,53,Auto driver
5060,59,101,Auto driver
5060,60,58,Auto driver
5060,61,101,Auto driver
5060,62,67,Auto driver
5060,67,120,Auto driver
5060,68,333,Auto driver
5060,69,133,Auto driver
5060,70,79,Auto driver
5060,72,51,Auto driver
5060,74,46,Auto driver
5060,75,137,Auto driver
5060,80,18,Auto driver
5061,18,31,Auto driver
5061,21,218,Auto driver
5061,23,109,Auto driver
5061,29,42,Auto driver
5061,30,28,Auto driver
5061,31,42,Auto driver
5061,33,234,Auto driver
5061,34,175,Auto driver
5061,36,270,Auto driver
5061,37,100,Auto driver
5061,39,100,Auto driver
5061,40,251,Auto driver
5061,42,110,Auto driver
5061,43,134,Auto driver
5061,44,123,Auto driver
5061,45,98,Auto driver
5061,46,139,Auto driver
5061,47,38,Auto driver
5061,48,217,Auto driver
5061,49,398,Auto driver
5061,51,73,Auto driver
5061,53,439,Auto driver
5061,54,264,Auto driver
5061,55,242,Auto driver
5061,56,366,Auto driver
5061,57,118,Auto driver
5061,63,60,Auto driver
5061,65,169,Auto driver
5061,67,118,Auto driver
5061,68,67,Auto driver
5061,69,118,Auto driver
5061,70,67,Auto driver
5061,71,78,Auto driver
5061,72,34,Auto driver
5061,74,34,Auto driver
5061,75,37,Auto driver
5061,78,40,Auto driver
5061,82,71,Auto driver
5061,86,33,Auto driver
5061,89,40,Auto driver
5063,21,117,Auto driver
5063,25,82,Auto driver
5063,26,162,Auto driver
5063,29,70,Auto driver
5063,32,154,Auto driver
5063,35,154,Auto driver
5063,36,204,Auto driver
5063,37,76,Auto driver
5063,40,343,Auto driver
5063,41,388,Auto driver
5063,43,128,Auto driver
5063,46,98,Auto driver
5063,49,58,Auto driver
5063,50,121,Auto driver
5063,51,64,Auto driver
5063,52,82,Auto driver
5063,53,164,Auto driver
5063,54,76,Auto driver
5063,55,417,Auto driver
5063,57,305,Auto driver
5063,58,107,Auto driver
5063,60,313,Auto driver
5063,61,295,Auto driver
5063,62,174,Auto driver
5063,64,74,Auto driver
5063,65,186,Auto driver
5063,66,158,Auto driver
5063,68,74,Auto driver
5063,80,54,Auto driver
5065,27,201,Auto driver
5065,30,226,Auto driver
5065,31,226,Auto driver
5065,32,525,Auto driver
5065,33,89,Auto driver
5065,35,134,Auto driver
5065,36,491,Auto driver
5065,39,107,Auto driver
5065,40,197,Auto driver
5065,41,501,Auto driver
5065,42,42,Auto driver
5065,43,392,Auto driver
5065,44,143,Auto driver
5065,45,42,Auto driver
5065,46,256,Auto driver
5065,47,463,Auto driver
5065,49,57,Auto driver
5065,50,83,Auto driver
5065,51,250,Auto driver
5065,54,292,Auto driver
5065,55,59,Auto driver
5065,57,195,Auto driver
5065,60,44,Auto driver
5065,62,145,Auto driver
5065,63,137,Auto driver
5065,67,317,Auto driver
5065,69,138,Auto driver
5065,70,71,Auto driver
5065,73,306,Auto driver
5065,74,165,Auto driver
5065,75,50,Auto driver
5065,76,34,Auto driver
5065,78,75,Auto driver
5066,17,260,Auto driver
5066,18,145,Auto driver
5066,19,363,Auto driver
5066,20,75,Auto driver
5066,21,85,Auto driver
5066,23,74,Auto driver
5066,30,133,Auto driver
5066,33,268,Auto driver
5066,34,543,Auto driver
5066,35,121,Auto driver
5066,36,307,Auto driver
5066,37,143,Auto driver
5066,38,320,Auto driver
5066,40,425,Auto driver
5066,41,65,Auto driver
5066,42,1113,Auto driver
5066,43,407,Auto driver
5066,44,539,Auto driver
5066,45,174,Auto driver
5066,46,476,Auto driver
5066,48,345,Auto driver
5066,49,1134,Auto driver
5066,50,150,Auto driver
5066,53,169,Auto driver
5066,57,55,Auto driver
5066,58,55,Auto driver
5066,60,93,Auto driver
5066,61,113,Auto driver
5066,63,40,Auto driver
5066,64,38,Auto driver
5066,65,295,Auto driver
5066,66,152,Auto driver
5066,67,111,Auto driver
5066,68,41,Auto driver
5066,70,35,Auto driver
5066,72,61,Auto driver
5066,73,111,Auto driver
5066,74,66,Auto driver
5066,76,111,Auto driver
5066,80,40,Auto driver
5066,82,65,Auto driver
5067,22,52,Auto driver
5067,23,310,Auto driver
5067,24,106,Auto driver
5067,26,125,Auto driver
5067,27,61,Auto driver
5067,32,43,Auto driver
5067,37,147,Auto driver
5067,40,221,Auto driver
5067,42,150,Auto driver
5067,43,98,Auto driver
5067,44,136,Auto driver
5067,45,68,Auto driver
5067,48,170,Auto driver
5067,49,59,Auto driver
5067,51,155,Auto driver
5067,52,502,Auto driver
5067,55,132,Auto driver
5067,56,159,Auto driver
5067,57,187,Auto driver
5067,58,37,Auto driver
5067,59,208,Auto driver
5067,60,63,Auto driver
5067,63,120,Auto driver
5067,64,167,Auto driver
5067,66,42,Auto driver
5067,67,261,Auto driver
5067,68,40,Auto driver
5067,70,29,Auto driver
5067,72,80,Auto driver
5067,73,75,Auto driver
5067,74,201,Auto driver
5067,76,21,Auto driver
5068,20,143,Auto driver
5068,21,95,Auto driver
5068,22,266,Auto driver
5068,23,74,Auto driver
5068,24,296,Auto driver
5068,25,95,Auto driver
5068,26,45,Auto driver
5068,27,70,Auto driver
5068,32,468,Auto driver
5068,34,361,Auto driver
5068,36,288,Auto driver
5068,39,460,Auto driver
5068,40,635,Auto driver
5068,41,159,Auto driver
5068,43,220,Auto driver
5068,45,209,Auto driver
5068,48,366,Auto driver
5068,50,196,Auto driver
5068,51,55,Auto driver
5068,52,159,Auto driver
5068,53,61,Auto driver
5068,54,207,Auto driver
5068,55,435,Auto driver
5068,57,153,Auto driver
5068,58,86,Auto driver
5068,59,87,Auto driver
5068,60,86,Auto driver
5068,61,67,Auto driver
5068,62,248,Auto driver
5068,63,140,Auto driver
5068,65,71,Auto driver
5068,67,67,Auto driver
5068,68,118,Auto driver
5068,69,42,Auto driver
5068,70,186,Auto driver
5068,71,354,Auto driver
5068,72,128,Auto driver
5068,73,166,Auto driver
5068,74,100,Auto driver
5068,75,51,Auto driver
5068,76,106,Auto driver
5068,79,138,Auto driver
5069,22,169,Auto driver
5069,23,236,Auto driver
5069,24,58,Auto driver
5069,26,111,Auto driver
5069,29,90,Auto driver
5069,30,213,Auto driver
5069,31,110,Auto driver
5069,36,302,Auto driver
5069,43,182,Auto driver
5069,45,306,Auto driver
5069,46,113,Auto driver
5069,47,136,Auto driver
5069,49,173,Auto driver
5069,50,43,Auto driver
5069,53,549,Auto driver
5069,54,488,Auto driver
5069,57,166,Auto driver
5069,58,50,Auto driver
5069,60,49,Auto driver
5069,62,330,Auto driver
5069,63,266,Auto driver
5069,65,210,Auto driver
5069,69,116,Auto driver
5069,70,684,Auto driver
5069,75,74,Auto driver
5069,76,151,Auto driver
5069,81,35,Auto driver
5069,82,101,Auto driver
5069,85,17,Auto driver
5071,18,39,Auto driver
5071,20,94,Auto driver
5071,22,140,Auto driver
5071,27,64,Auto driver
5071,28,98,Auto driver
5071,29,188,Auto driver
5071,30,64,Auto driver
5071,33,64,Auto driver
5071,38,382,Auto driver
5071,39,149,Auto driver
5071,40,165,Auto driver
5071,41,88,Auto driver
5071,43,70,Auto driver
5071,44,379,Auto driver
5071,45,138,Auto driver
5071,50,35,Auto driver
5071,51,35,Auto driver
5071,52,116,Auto driver
5071,53,26,Auto driver
5071,54,58,Auto driver
5071,55,140,Auto driver
5071,56,37,Auto driver
5071,57,95,Auto driver
5071,58,188,Auto driver
5071,59,127,Auto driver
5071,60,525,Auto driver
5071,61,51,Auto driver
5071,63,316,Auto driver
5071,65,30,Auto driver
5071,66,28,Auto driver
5071,68,57,Auto driver
5071,69,57,Auto driver
5071,70,43,Auto driver
5071,71,28,Auto driver
5071,72,85,Auto driver
5071,73,75,Auto driver
5071,75,24,Auto driver
5071,83,41,Auto driver
5072,22,121,Auto driver
5072,25,123,Auto driver
5072,42,50,Auto driver
5072,45,21,Auto driver
5072,46,21,Auto driver
5072,47,150,Auto driver
5072,49,243,Auto driver
5072,59,69,Auto driver
5072,71,68,Auto driver
5072,72,34,Auto driver
5072,76,23,Auto driver
5072,79,66,Auto driver
5073,17,193,Auto driver
5073,20,299,Auto driver
5073,22,494,Auto driver
5073,23,362,Auto driver
5073,24,285,Auto driver
5073,25,47,Auto driver
5073,30,79,Auto driver
5073,31,33,Auto driver
5073,32,264,Auto driver
5073,33,82,Auto driver
5073,34,226,Auto driver
5073,35,526,Auto driver
5073,36,99,Auto driver
5073,37,123,Auto driver
5073,38,362,Auto driver
5073,39,223,Auto driver
5073,41,438,Auto driver
5073,42,294,Auto driver
5073,43,335,Auto driver
5073,44,388,Auto driver
5073,45,861,Auto driver
5073,46,995,Auto driver
5073,47,45,Auto driver
5073,49,918,Auto driver
5073,50,386,Auto driver
5073,51,656,Auto driver
5073,52,47,Auto driver
5073,58,301,Auto driver
5073,60,214,Auto driver
5073,62,437,Auto driver
5073,63,66,Auto driver
5073,65,226,Auto driver
5073,66,108,Auto driver
5073,67,145,Auto driver
5073,68,113,Auto driver
5073,79,87,Auto driver
5073,85,73,Auto driver
5073,94,36,Auto driver
5074,18,278,Auto driver
5074,31,95,Auto driver
5074,33,189,Auto driver
5074,34,340,Auto driver
5074,35,74,Auto driver
5074,36,187,Auto driver
5074,37,240,Auto driver
5074,39,165,Auto driver
5074,40,265,Auto driver
5074,41,162,Auto driver
5074,42,113,Auto driver
5074,43,119,Auto driver
5074,44,1508,Auto driver
5074,45,85,Auto driver
5074,46,62,Auto driver
5074,48,198,Auto driver
5074,51,559,Auto driver
5074,54,98,Auto driver
5074,57,53,Auto driver
5074,59,133,Auto driver
5074,65,355,Auto driver
5074,66,40,Auto driver
5074,67,62,Auto driver
5074,68,58,Auto driver
5074,69,385,Auto driver
5074,72,102,Auto driver
5074,77,69,Auto driver
5074,87,107,Auto driver
5075,18,29,Auto driver
5075,23,532,Auto driver
5075,24,143,Auto driver
5075,25,123,Auto driver
5075,28,195,Auto driver
5075,31,266,Auto driver
5075,37,438,Auto driver
5075,38,130,Auto driver
5075,40,118,Auto driver
5075,41,59,Auto driver
5075,43,49,Auto driver
5075,44,40,Auto driver
5075,45,202,Auto driver
5075,46,173,Auto driver
5075,48,317,Auto driver
5075,49,163,Auto driver
5075,50,328,Auto driver
5075,51,153,Auto driver
5075,52,121,Auto driver
5075,53,126,Auto driver
5075,55,123,Auto driver
5075,57,110,Auto driver
5075,58,126,Auto driver
5075,60,54,Auto driver
5075,62,102,Auto driver
5075,64,377,Auto driver
5075,65,355,Auto driver
5075,85,38,Auto driver
5076,22,127,Auto driver
5076,24,116,Auto driver
5076,27,75,Auto driver
5076,30,219,Auto driver
5076,33,312,Auto driver
5076,35,35,Auto driver
5076,37,342,Auto driver
5076,38,191,Auto driver
5076,40,171,Auto driver
5076,42,70,Auto driver
5076,43,35,Auto driver
5076,46,319,Auto driver
5076,48,116,Auto driver
5076,49,167,Auto driver
5076,50,94,Auto driver
5076,53,77,Auto driver
5076,54,148,Auto driver
5076,57,91,Auto driver
5076,58,107,Auto driver
5076,60,38,Auto driver
5076,62,82,Auto driver
5076,64,98,Auto driver
5076,65,32,Auto driver
5076,66,28,Auto driver
5076,67,55,Auto driver
5076,68,28,Auto driver
5076,70,43,Auto driver
5076,72,57,Auto driver
5076,73,28,Auto driver
5076,75,47,Auto driver
5076,76,56,Auto driver
5076,78,227,Auto driver
5076,85,28,Auto driver
5077,18,54,Auto driver
5077,19,37,Auto driver
5077,22,53,Auto driver
5077,33,102,Auto driver
5077,34,51,Auto driver
5077,46,28,Auto driver
5077,47,214,Auto driver
5077,49,28,Auto driver
5077,52,90,Auto driver
5077,70,28,Auto driver
5078,21,51,Auto driver
5078,25,64,Auto driver
5078,33,86,Auto driver
5078,35,43,Auto driver
5078,36,74,Auto driver
5078,41,111,Auto driver
5078,42,53,Auto driver
5078,43,163,Auto driver
5078,44,82,Auto driver
5078,45,123,Auto driver
5078,48,33,Auto driver
5078,49,33,Auto driver
5078,50,77,Auto driver
5078,52,39,Auto driver
5078,53,39,Auto driver
5078,56,51,Auto driver
5078,57,139,Auto driver
5078,58,51,Auto driver
5078,59,37,Auto driver
5078,65,40,Auto driver
5078,69,29,Auto driver
5078,71,40,Auto driver
5078,72,38,Auto driver
5078,73,80,Auto driver
5078,74,29,Auto driver
5078,76,29,Auto driver
5078,78,32,Auto driver
5078,80,39,Auto driver
5078,82,26,Auto driver
5078,83,39,Auto driver
5078,85,126,Auto driver
5079,33,286,Auto driver
5079,38,714,Auto driver
5079,45,107,Auto driver
5079,47,61,Auto driver
5079,49,47,Auto driver
5079,50,38,Auto driver
5079,55,70,Auto driver
5079,60,93,Auto driver
5079,64,107,Auto driver
5079,70,119,Auto driver
5079,79,80,Auto driver
5080,41,166,Auto driver
5080,43,111,Auto driver
5080,45,19,Auto driver
5080,47,38,Auto driver
5080,49,41,Auto driver
5080,51,34,Auto driver
5080,53,91,Auto driver
5080,56,85,Auto driver
5080,61,42,Auto driver
5080,62,85,Auto driver
5080,64,170,Auto driver
5080,71,36,Auto driver
5080,72,36,Auto driver
5080,79,66,Auto driver
5081,23,84,Auto driver
5081,25,130,Auto driver
5081,33,65,Auto driver
5081,36,33,Auto driver
5081,43,33,Auto driver
5081,45,86,Auto driver
5081,47,69,Auto driver
5081,49,187,Auto driver
5081,50,161,Auto driver
5081,51,37,Auto driver
5081,54,283,Auto driver
5081,56,68,Auto driver
5081,58,28,Auto driver
5081,60,99,Auto driver
5081,61,143,Auto driver
5081,62,139,Auto driver
5081,68,34,Auto driver
5081,69,85,Auto driver
5081,71,51,Auto driver
5081,73,34,Auto driver
5081,75,57,Auto driver
5081,77,32,Auto driver
5081,80,24,Auto driver
5081,81,73,Auto driver
5081,85,22,Auto driver
5081,86,43,Auto driver
5081,90,43,Auto driver
5082,18,187,Auto driver
5082,25,174,Auto driver
5082,26,68,Auto driver
5082,27,67,Auto driver
5082,28,174,Auto driver
5082,29,295,Auto driver
5082,31,352,Auto driver
5082,32,53,Auto driver
5082,35,53,Auto driver
5082,37,67,Auto driver
5082,38,65,Auto driver
5082,40,99,Auto driver
5082,41,57,Auto driver
5082,43,67,Auto driver
5082,45,289,Auto driver
5082,46,93,Auto driver
5082,47,298,Auto driver
5082,51,227,Auto driver
5082,52,258,Auto driver
5082,53,278,Auto driver
5082,55,165,Auto driver
5082,56,222,Auto driver
5082,58,57,Auto driver
5082,59,330,Auto driver
5082,60,143,Auto driver
5082,61,55,Auto driver
5082,62,67,Auto driver
5082,63,68,Auto driver
5082,65,129,Auto driver
5082,66,143,Auto driver
5082,67,186,Auto driver
5082,68,181,Auto driver
5082,70,51,Auto driver
5082,72,160,Auto driver
5082,73,106,Auto driver
5082,76,147,Auto driver
5082,82,92,Auto driver
5082,83,45,Auto driver
5082,84,45,Auto driver
5084,16,33,Auto driver
5084,17,134,Auto driver
5084,21,96,Auto driver
5084,22,205,Auto driver
5084,25,132,Auto driver
5084,27,186,Auto driver
5084,30,67,Auto driver
5084,31,264,Auto driver
5084,34,48,Auto driver
5084,35,440,Auto driver
5084,36,481,Auto driver
5084,37,160,Auto driver
5084,38,300,Auto driver
5084,39,888,Auto driver
5084,41,502,Auto driver
5084,42,54,Auto driver
5084,43,76,Auto driver
5084,45,130,Auto driver
5084,47,43,Auto driver
5084,49,370,Auto driver
5084,50,189,Auto driver
5084,51,315,Auto driver
5084,52,395,Auto driver
5084,53,270,Auto driver
5084,54,253,Auto driver
5084,55,308,Auto driver
5084,56,402,Auto driver
5084,57,154,Auto driver
5084,58,100,Auto driver
5084,59,159,Auto driver
5084,60,341,Auto driver
5084,62,118,Auto driver
5084,66,54,Auto driver
5084,68,75,Auto driver
5084,69,75,Auto driver
5084,70,146,Auto driver
5084,71,37,Auto driver
5084,74,59,Auto driver
5084,75,137,Auto driver
5084,76,153,Auto driver
5086,20,38,Auto driver
5086,23,46,Auto driver
5086,25,23,Auto driver
5086,27,105,Auto driver
5086,29,99,Auto driver
5086,30,87,Auto driver
5086,31,67,Auto driver
5086,35,92,Auto driver
5086,37,51,Auto driver
5086,38,159,Auto driver
5086,41,317,Auto driver
5086,42,358,Auto driver
5086,43,64,Auto driver
5086,48,82,Auto driver
5086,49,144,Auto driver
5086,50,234,Auto driver
5086,51,55,Auto driver
5086,52,76,Auto driver
5086,54,208,Auto driver
5086,55,116,Auto driver
5086,56,149,Auto driver
5086,57,74,Auto driver
5086,58,56,Auto driver
5086,59,264,Auto driver
5086,61,111,Auto driver
5086,62,39,Auto driver
5086,65,153,Auto driver
5086,66,164,Auto driver
5086,67,78,Auto driver
5086,69,133,Auto driver
5086,70,155,Auto driver
5086,71,187,Auto driver
5086,73,39,Auto driver
5086,74,61,Auto driver
5086,75,96,Auto driver
5086,76,23,Auto driver
5086,77,88,Auto driver
5086,80,69,Auto driver
5086,81,69,Auto driver
5086,86,33,Auto driver
5087,55,112,Auto driver
5087,61,112,Auto driver
5087,73,57,Auto driver
5087,86,69,Auto driver
5088,40,77,Auto driver
5088,46,219,Auto driver
5088,48,77,Auto driver
5088,53,51,Auto driver
5088,55,47,Auto driver
5088,61,51,Auto driver
5088,76,97,Auto driver
5089,18,67,Auto driver
5089,20,330,Auto driver
5089,22,264,Auto driver
5089,25,330,Auto driver
5089,28,99,Auto driver
5089,30,211,Auto driver
5089,32,199,Auto driver
5089,33,85,Auto driver
5089,35,131,Auto driver
5089,36,85,Auto driver
5089,40,51,Auto driver
5089,41,61,Auto driver
5089,43,333,Auto driver
5089,44,431,Auto driver
5089,45,94,Auto driver
5089,47,54,Auto driver
5089,49,297,Auto driver
5089,50,193,Auto driver
5089,52,94,Auto driver
5089,55,171,Auto driver
5089,56,67,Auto driver
5089,58,64,Auto driver
5089,59,283,Auto driver
5089,60,128,Auto driver
5089,61,101,Auto driver
5089,62,67,Auto driver
5089,63,98,Auto driver
5089,68,51,Auto driver
5089,69,77,Auto driver
5089,72,77,Auto driver
5089,73,98,Auto driver
5089,74,101,Auto driver
5089,79,102,Auto driver
5089,80,68,Auto driver
5089,82,159,Auto driver
5089,86,73,Auto driver
5090,22,150,Auto driver
5090,23,225,Auto driver
5090,24,270,Auto driver
5090,25,27,Auto driver
5090,26,218,Auto driver
5090,27,272,Auto driver
5090,28,135,Auto driver
5090,29,135,Auto driver
5090,32,135,Auto driver
5090,40,367,Auto driver
5090,41,89,Auto driver
5090,44,45,Auto driver
5090,45,137,Auto driver
5090,47,95,Auto driver
5090,48,97,Auto driver
5090,51,13,Auto driver
5090,52,89,Auto driver
5090,53,112,Auto driver
5090,55,209,Auto driver
5090,56,301,Auto driver
5090,58,74,Auto driver
5090,60,308,Auto driver
5090,61,50,Auto driver
5090,62,203,Auto driver
5090,63,163,Auto driver
5090,65,39,Auto driver
5090,67,44,Auto driver
5090,68,43,Auto driver
5090,73,125,Auto driver
5090,74,44,Auto driver
5090,77,43,Auto driver
5090,78,88,Auto driver
5091,25,124,Auto driver
5091,26,102,Auto driver
5091,28,78,Auto driver
5091,30,143,Auto driver
5091,39,114,Auto driver
5091,47,104,Auto driver
5091,52,124,Auto driver
5091,53,285,Auto driver
5091,55,329,Auto driver
5091,56,265,Auto driver
5091,57,69,Auto driver
5091,59,281,Auto driver
5091,60,69,Auto driver
5091,62,276,Auto driver
5091,63,93,Auto driver
5091,64,71,Auto driver
5091,65,217,Auto driver
5091,67,71,Auto driver
5091,68,215,Auto driver
5091,73,109,Auto driver
5091,76,56,Auto driver
5091,78,48,Auto driver
5092,21,76,Auto driver
5092,22,143,Auto driver
5092,23,172,Auto driver
5092,28,133,Auto driver
5092,30,66,Auto driver
5092,31,138,Auto driver
5092,32,209,Auto driver
5092,34,132,Auto driver
5092,36,223,Auto driver
5092,39,42,Auto driver
5092,46,90,Auto driver
5092,48,177,Auto driver
5092,50,84,Auto driver
5092,51,67,Auto driver
5092,55,67,Auto driver
5092,56,503,Auto driver
5092,57,48,Auto driver
5092,59,116,Auto driver
5092,61,329,Auto driver
5092,64,335,Auto driver
5092,65,44,Auto driver
5092,66,88,Auto driver
5092,68,99,Auto driver
5092,69,33,Auto driver
5092,70,259,Auto driver
5092,71,209,Auto driver
5092,77,49,Auto driver
5092,82,146,Auto driver
5092,83,70,Auto driver
5093,17,18,Auto driver
5093,22,17,Auto driver
5093,23,25,Auto driver
5093,24,99,Auto driver
5093,25,312,Auto driver
5093,26,230,Auto driver
5093,32,62,Auto driver
5093,33,39,Auto driver
5093,36,143,Auto driver
5093,42,39,Auto driver
5093,44,110,Auto driver
5093,45,409,Auto driver
5093,46,67,Auto driver
5093,47,110,Auto driver
5093,49,67,Auto driver
5093,52,25,Auto driver
5093,53,25,Auto driver
5093,54,34,Auto driver
5093,56,42,Auto driver
5093,62,66,Auto driver
5093,64,259,Auto driver
5093,65,36,Auto driver
5093,67,119,Auto driver
5093,68,54,Auto driver
5093,70,36,Auto driver
