Sat Apr 03 2021 20:43:24 GMT-0400 (Eastern Daylight Time) - Run Time: 2080ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: Age of person - age
Table: Primary travel mode of trip - mode_prime


Filters:
Regional municipality of household - region_hhld In 6, 

Trip 2016
ROW : gta06_hhld
COLUMN : age

TABLE    : mode_prime (Transit excluding GO rail)

  gta06_hhld         age      total
        5148          51         51
        5148          55         45
        5148          56        343
        5148          58         37
        5148          60         45
        5148          61         49
        5148          63         87
        5148          65         81
        5148          66         54
        5148          70         41
        5148          71         39
        5148          73         41
        5148          74         54
        5148          76         59
        5148          77         48
        5148          78         45
        5148          79         78
        5148          81         69
        5149          12        170
        5149          30         49
        5149          46         87
        5149          53         87
        5150          16        280
        5150          23        125
        5150          28        146
        5150          36        280
        5150          49         33
        5150          50        155
        5150          51         69
        5150          55        118
        5150          57        250
        5150          60         83
        5150          69        107
        5151          19        184
        5151          23        197
        5151          25         92
        5151          60         86
        5151          64         48
        5151          68         29
        5151          72         53
        5154          32         35
        5154          33         89
        5154          34         28
        5154          51         72
        5154          55         89
        5155          27         20
        5155          31        100
        5155          32         76
        5155          34        160
        5155          40         15
        5155          57         23
        5155          72        194
        5156          40         92
        5156          86         18
        5157          15        191
        5157          18        166
        5157          49         71
        5157          50         73
        5157          54        141
        5157          55         65
        5157          58         33
        5157          62        101
        5157          64         51
        5158          15         91
        5158          18        103
        5158          19         68
        5158          27        104
        5158          51        162
        5158          63         48
        5158          72         34
        5159          16        148
        5159          28         69
        5159          29         84
        5159          30         19
        5159          32         34
        5159          52         76
        5159          61         97
        5159          62         80
        5159          64         47
        5159          67         79
        5159          72         51
        5161          29         98
        5161          35         55
        5161          38         58
        5161          43        170
        5161          52        110
        5162          29         56
        5163          16         58
        5163          39         58
        5163          45         81
        5163          58         48
        5163          61         96
        5163          64         96
        5163          66         79
        5163          84         30
        5164          13        123
        5164          15        276
        5164          21         72
        5164          22         39
        5164          23         75
        5164          25        163
        5164          30        183
        5164          31        184
        5164          38        185
        5164          41         99
        5164          52         52
        5164          54         19
        5164          55         96
        5164          56        170
        5164          65         81
        5164          73         92
        5164          77         10
        5165          28         43
        5165          46         81
        5165          50         94
        5165          58         86
        5165          86         28
        5166          15         42
        5166          17        161
        5166          18         58
        5166          19        128
        5166          20        163
        5166          21        283
        5166          22        373
        5166          23        730
        5166          24         91
        5166          25        369
        5166          26        205
        5166          27        154
        5166          28         51
        5166          29        103
        5166          41        135
        5166          47         80
        5166          51         80
        5166          54        145
        5166          59         11
        5166          64         50
        5166          73         11
        5167          21        114
        5167          26         29
        5167          32         67
        5167          37         52
        5167          39         78
        5167          40         89
        5167          46         24
        5167          68         20
        5168          20        144
        5168          24         70
        5168          25        106
        5168          26         34
        5168          30         47
        5168          34        178
        5168          44         52
        5168          46         82
        5168          50        143
        5168          52        227
        5168          54         82
        5168          60         96
        5168          66         52
        5168          88         30
        5168          92         54
        5170          18        140
        5170          21        140
        5170          22        221
        5170          23        140
        5170          24        221
        5170          26         64
        5170          29         64
        5170          34         53
        5170          41        157
        5170          50        140
        5170          53        221
        5170          57        131
        5170          60        131
        5170          65         74
        5170          66         39
        5170          67        186
        5170          71         39
        5170          80         50
        5170          83         50
        5170          92         11
        5171          19        141
        5171          26         50
        5171          28        103
        5171          29         69
        5171          30         47
        5171          32         69
        5171          33        300
        5171          35        200
        5171          60         96
        5171          66         53
        5171          67         79
        5172          24        301
        5172          28        204
        5172          29         85
        5172          30         90
        5172          33        103
        5172          35        127
        5172          49         23
        5172          57         73
        5172          58        115
        5172          59         73
        5172          62        173
        5174          24        201
        5174          28         42
        5174          30        107
        5174          36         19
        5174          42         75
        5174          63         64
        5174          77         27
        5174          78         27
        5175          13         69
        5175          17         64
        5175          18         68
        5175          19        269
        5175          20        121
        5175          26         64
        5175          30         97
        5175          43        175
        5175          48        102
        5175          69         43
        5175          76         53
        5176          27        111
        5176          32         23
        5176          60        111
        5178          14         74
        5178          17         37
        5178          80         26
        5179          23        177
        5179          24        224
        5179          25         52
        5179          27        100
        5179          29         67
        5179          30         67
        5179          34         24
        5179          36        106
        5179          45         34
        5179          66         51
        5179          73         20
        5180          27         24
        5180          41         57
        5180          51         83
        5180          68         67
        5181          17        208
        5181          18        151
        5181          19        197
        5181          20        350
        5181          21        297
        5181          30         66
        5181          40         34
        5181          46         34
        5181          51        394
        5181          53        107
        5181          54         98
        5181          63         25
        5181          64        110
        5181          66        119
        5181          68         57
        5181          70         29
        5181          75         73
        5181          80        109
        5183          16         59
